id	name	reason	replaced_by	pr	date	notes
cpd21288_c0	Mast cell degranulating peptide	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd22312_c0	Adenylated-ThiS-Proteins [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones
cpd26672_c0	Carboxyadenylated-MPT-synthases	orphaned		#304	2025-10-23	fix: remove isolated genes and metabolites or add to appropriate reactions
cpd27144_c0	Gcv-H [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one
cpd27484_c0	MPT-Synthases	orphaned		#304	2025-10-23	fix: remove isolated genes and metabolites or add to appropriate reactions
cpd27713_c0	Octanoylated-Gcv-H [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one
cpd27735_c0	Ox-Thioredoxin [c0]	duplicate	cpd11420_c0	#181	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions
cpd27744_c0	Oxidized-Flavoproteins [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
cpd27758_c0	Oxidized-flavodoxins	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
cpd28060_c0	Red-Thioredoxin [c0]	duplicate	cpd11421_c0	#181	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions
cpd28070_c0	Reduced-Flavoproteins [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
cpd28083_c0	Reduced-flavodoxins	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
cpd28205_c0	Sulfur-Carrier-Proteins-ThiI [c0]	dead_end		#128	2025-03-14	fix: replaced disconnected iron-sulfur cluster biosynthesis pathway with intact version
cpd28253_c0	Thi-S	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd28259_c0	Thiocarboxyadenylated-ThiS-Proteins [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones
cpd28260_c0	Thiocarboxylated-MPT-synthases	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd33647_c0	bis(molybdenum cofactor)	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd33817_c0	Cbi(II) [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
cpd35194_c0	Mo(Dtpp-mGDP)2	dead_end		#301	2025-10-22	fix: remove unnecessary dead-end reaction rxn44539_c0 and associated metabolite cpd35194_c0 and gene WP_049589095.1
cpd36025_c0	(8S)-3&apos;,8-cyclo-7,8-dihydroguanosine 5&apos;-triphosphate	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
