substrate,dissipation_lb,feasible,growth_rate,NaNQR_flux,Na_EX_flux,ATPsyn_flux,NaH_anti_flux,flagella_flux,symporter_flux,acetate,pyruvate,succinate,formate,lactate,fumarate,NH3_secretion,na_medium_import_flag
aspartate,128,True,0.429367022538905,34.247847979168945,1.3611629077300966e-14,27.654724586413046,-73.03799821787379,128.0,-15.0,2.5166808238488305,0.0,0.0,0.0,0.0,0.0,10.552712202715648,False
aspartate,132,True,0.4213624173461507,34.30847721147379,3.548403863630465e-15,26.70776849793203,-76.71104075666857,132.0,-15.0,2.7027978852986085,0.0,0.0,0.0,0.0,0.0,10.635622116908422,False
aspartate,136,True,0.41335781215340506,34.36910644377864,1.1934424875022549e-14,25.760812409445645,-80.384083295485,136.0,-15.0,2.8889149467481325,0.0,0.0,0.0,0.0,0.0,10.7185320311009,False
aspartate,140,True,0.40535320696066,34.429735676083475,1.1934424875022549e-14,24.813856320959033,-84.05712583430233,140.0,-15.0,3.0750320081976397,0.0,0.0,0.0,0.0,0.0,10.80144194529336,False
aspartate,144,True,0.39734860176791287,34.490364908388294,1.1934424875022549e-14,23.866900232472684,-87.73016837311867,144.0,-15.0,3.261149069647125,0.0,0.0,0.0,0.0,0.0,10.884351859485832,False
aspartate,148,True,0.3893439965751679,34.550994140693135,1.1934424875022549e-14,22.919944143986065,-91.40321091193601,148.0,-15.0,3.4472661310966184,0.0,0.0,0.0,0.0,0.0,10.967261773678304,False
aspartate,152,True,0.38133939138242035,34.61162337299797,1.69660374818578e-14,21.972988055499837,-95.07625345075178,152.0,-15.0,3.6333831925461375,0.0,0.0,0.0,0.0,0.0,11.050171687870789,False
aspartate,156,True,0.37333478618967464,34.672252605302795,1.8643241684136216e-14,21.026031967013466,-98.74929598956813,156.0,-15.0,3.8195002539956353,0.0,0.0,0.0,0.0,0.0,11.133081602063253,False
aspartate,160,True,0.36533018099692854,34.73288183760763,5.225608065908882e-15,20.079075878526726,-102.42233852838596,160.0,-15.0,4.005617315445146,0.0,0.0,0.0,0.0,0.0,11.215991516255738,False
aspartate,164,True,0.35732557580418106,34.79351106991244,2.0320445886414633e-14,19.132119790040463,-106.09538106720183,164.0,-15.0,4.1917343768946305,0.0,0.0,0.0,0.0,0.0,11.29890143044821,False
aspartate,168,True,0.3493209706114368,34.85414030221728,1.69660374818578e-14,18.18516370155387,-109.76842360601907,168.0,-15.0,4.377851438344124,0.0,0.0,0.0,0.0,0.0,11.38181134464068,False
aspartate,172,True,0.34131636541868987,34.91476953452212,1.0257220672744132e-14,17.238207613067683,-113.44146614483478,172.0,-15.0,4.563968499793657,0.0,0.0,0.0,0.0,0.0,11.464721258833155,False
aspartate,176,True,0.3333117602259438,34.975398766826935,1.3611629077300966e-14,16.291251524580954,-117.11450868365255,176.0,-15.0,4.750085561243129,0.0,0.0,0.0,0.0,0.0,11.547631173025628,False
aspartate,180,True,0.32530715503319696,35.03602799913177,1.8643241684136216e-14,15.344295436094706,-120.78755122246842,180.0,-15.0,4.93620262269263,0.0,0.0,0.0,0.0,0.0,11.630541087218127,False
aspartate,184,True,0.3173025498404518,35.096657231436616,1.3611629077300966e-14,14.397339347608282,-124.46059376128505,184.0,-15.0,5.1223196841421625,0.0,0.0,0.0,0.0,0.0,11.713451001410577,False
aspartate,188,True,0.30929794464770627,35.15728646374145,6.902812268187298e-15,13.450383259121885,-128.13363630010159,188.0,-15.0,5.308436745591669,0.0,0.0,0.0,0.0,0.0,11.796360915603035,False
aspartate,192,True,0.301293339454959,35.21791569604627,1.1934424875022549e-14,12.503427170635351,-131.80667883891854,192.0,-15.0,5.494553807041153,0.0,0.0,0.0,0.0,0.0,11.879270829795535,False
aspartate,196,True,0.293288734262213,35.2785449283511,1.8643241684136216e-14,11.55647108214909,-135.4797213777344,196.0,-15.0,5.680670868490654,0.0,0.0,0.0,0.0,0.0,11.962180743988004,False
aspartate,200,True,0.2852841290694665,35.33917416065593,1.3611629077300966e-14,10.609514993662694,-139.15276391655092,200.0,-15.0,5.866787929940165,0.0,0.0,0.0,0.0,0.0,12.04509065818048,False
aspartate,204,True,0.2772795238767206,35.399803392960756,1.69660374818578e-14,9.66255890517596,-142.82580645536873,204.0,-15.0,6.052904991389647,0.0,0.0,0.0,0.0,0.0,12.128000572372947,False
aspartate,208,True,0.2692749186839727,35.460432625265575,1.3611629077300966e-14,8.715602816689584,-146.4988489941851,208.0,-15.0,6.23902205283914,0.0,0.0,0.0,0.0,0.0,12.210910486565433,False
aspartate,212,True,0.2612703134912272,35.521061857570416,1.69660374818578e-14,7.7686467282033425,-150.1718915330009,212.0,-15.0,6.42513911428865,0.0,0.0,0.0,0.0,0.0,12.293820400757903,False
aspartate,216,True,0.2532657082984807,35.581691089875235,3.548403863630465e-15,6.821690639716775,-153.8449340718181,216.0,-15.0,6.611256175738143,0.0,0.0,0.0,0.0,0.0,12.376730314950374,False
aspartate,220,True,0.24526110310573584,35.64232032218008,1.1934424875022549e-14,5.8747345512303735,-157.5179766106346,220.0,-15.0,6.797373237187657,0.0,0.0,0.0,0.0,0.0,12.459640229142842,False
aspartate,224,True,0.23725649791298925,35.7029495544849,1.8643241684136216e-14,4.927778462743801,-161.19101914945182,224.0,-15.0,6.983490298637143,0.0,0.0,0.0,0.0,0.0,12.542550143335326,False
aspartate,228,True,0.22925189272024318,35.76357878678973,1.3611629077300966e-14,3.980822374257243,-164.86406168826886,228.0,-15.0,7.169607360086635,0.0,0.0,0.0,0.0,0.0,12.625460057527786,False
aspartate,232,True,0.22124728752749592,35.82420801909459,-2.328686337282421e-14,3.03386628577173,-168.53710422708184,232.0,-15.0,7.355724421536212,0.0,0.0,0.0,0.0,0.0,12.70836997172027,False
aspartate,236,True,0.21324268233475302,35.884837251399375,3.876969211147722e-14,2.086910197283638,-172.2101467659051,236.0,-15.0,7.541841482985611,0.0,0.0,0.0,0.0,0.0,12.791279885912706,False
