,PC1,PC2,PC3,PC4,PC5
rxn00029_c0,0.05579413667934427,-0.005718169799347166,0.0006361195246835052,-0.0021654417874556907,0.00365835856287409
rxn09128_c0,-0.05579413667934427,0.005718169799347121,-0.0006361195246835106,0.0021654417874557587,-0.003658358562874054
rxn05256_c0,0.03888408445887383,0.0006778598546129832,0.01974322342537111,-0.03148056598832526,-0.055521136281337785
rxn02175_c0,0.055794136679341425,-0.005718169799341683,0.0006361195244844707,-0.0021654417873793173,0.003658358563403605
rxn02835_c0,0.05579413667934427,-0.0057181697993471566,0.0006361195246835159,-0.002165441787455794,0.0036583585628740573
rxn02774_c0,0.05579413667934427,-0.005718169799347178,0.0006361195246835079,-0.0021654417874557652,0.003658358562874096
rxn01575_c0,-0.03239833116096957,-0.01581197675078226,-0.04013716025537663,0.00179032285378165,0.07402985094094289
rxn00555_c0,0.05579413667934427,-0.005718169799347134,0.0006361195246835453,-0.0021654417874557726,0.0036583585628740724
rxn03435_c0,-0.04240186189162479,-0.023336161417982868,-0.048582455291346624,-0.02589582371118615,0.010995868400659898
rxn03080_c0,0.05579413667934427,-0.005718169799347302,0.0006361195246830517,-0.0021654417874558706,0.0036583585628751636
rxn00849_c0,-0.02599471603032254,-0.041290539189428946,0.01978296179691134,-0.141596463051926,0.02788445645815966
rxn00737_c0,0.042401861891624794,0.02333616141798287,0.04858245529134663,0.025895823711186153,-0.010995868400659909
rxn01256_c0,0.05459805662488883,-0.01399056849456679,-0.00501630860406535,-0.005352466537750402,0.007211024009882015
rxn01629_c0,-0.05579413667934427,0.005718169799347166,-0.000636119524683513,0.0021654417874557375,-0.003658358562874095
rxn00777_c0,-0.05572466579263621,0.007530021347083384,0.0005864501545523155,0.0028633481783251124,-0.004440565264725481
rxn01740_c0,-0.05491250252795768,0.012802996303939069,0.004193401778627541,0.004894847775947379,-0.006704040877332674
rxn05327_c0,0.05579413667934428,-0.005718169799347223,0.0006361195246835445,-0.002165441787455745,0.0036583585628738964
rxn08801_c0,0.05579413667934427,-0.0057181697993471696,0.0006361195246835436,-0.0021654417874557665,0.003658358562874076
rxn00251_c0,0.010212507648748984,-0.06703717398743643,0.11380608246742074,-0.017877457471804786,0.0387337876229155
rxn00139_c0,0.055794136679344235,-0.005718169799352258,0.0006361195246770507,-0.0021654417874661554,0.003658358562876282
rxn00790_c0,0.055794136679344054,-0.005718169799326867,0.0006361195246381892,-0.002165441787469473,0.003658358562952386
rxn03910_c0,0.05579413667934425,-0.005718169799347943,0.0006361195246830437,-0.0021654417874559973,0.003658358562874351
rxn00237_c0,0.05579413667934412,-0.0057181697993311876,0.0006361195246478454,-0.002165441787466599,0.003658358562935723
rxn08311_c0,0.05579413667934427,-0.005718169799347175,0.0006361195246835299,-0.0021654417874557735,0.003658358562874071
rxn03175_c0,0.05579413667934427,-0.005718169799347144,0.000636119524683531,-0.0021654417874557674,0.003658358562874052
rxn05336_c0,-0.05579413667934427,0.005718169799347406,-0.0006361195246836007,0.002165441787455742,-0.0036583585628737567
rxn09210_c0,0.05579413667934427,-0.005718169799347153,0.0006361195246835445,-0.0021654417874557674,0.0036583585628740855
rxn01484_c0,-0.05579413667934427,0.005718169799347099,-0.0006361195246835207,0.0021654417874557843,-0.003658358562874091
rxn00285_c0,-0.026620195188772233,-0.036902049695464505,-0.03354508388709853,0.03982345647470966,0.01550912604965277
rxn00182_c0,0.013114130167343427,-0.06247654114932847,0.14118788363155327,-0.021250963221646397,-0.03822647726497466
rxn01045_c0,-0.0074084897657713585,-0.06891557849798863,-0.07857748888872028,0.009798427965393102,-0.1114786188912521
rxn00126_c0,0.05579413667934425,-0.005718169799351652,0.0006361195246778276,-0.0021654417874648313,0.003658358562876022
rxn01871_c0,0.02761578860012554,0.014631062515269617,-0.01693287459435955,0.04463605099054947,0.024081850959807034
rxn05340_c0,-0.05579413667934427,0.0057181697993472684,-0.0006361195246835337,0.0021654417874556933,-0.003658358562873956
rxn00405_c0,0.004856456721112187,-0.07381336804014216,0.12283243030570548,-0.019826481006038187,-0.0468764973092194
rxn00299_c0,0.055794136679344304,-0.005718169799346522,0.0006361195246892975,-0.0021654417874513105,0.0036583585628756237
rxn00904_c0,-0.0063752835426650525,-0.035728002857044666,-0.05257754167299419,0.021010888880314264,-0.1145423699916012
rxn03159_c0,0.05579413667934427,-0.005718169799347193,0.0006361195246835259,-0.0021654417874557266,0.003658358562874071
rxn01000_c0,0.05579413667934426,-0.005718169799347124,0.000636119524683517,-0.002165441787455732,0.0036583585628740508
rxn00647_c0,-0.047826574808611216,-0.005244633787062733,0.021330426646292804,0.009483707872638015,0.00934093618496129
rxn00601_c0,0.004856456721112188,-0.0738133680401422,0.12283243030570554,-0.0198264810060382,-0.04687649730921941
rxn00786_c0,0.018193429718262117,0.09735131037383087,-0.02997649987649616,-0.1035205088108257,-0.06002471050572582
rxn03908_c0,0.05579413667934425,-0.005718169799347906,0.0006361195246830108,-0.0021654417874560233,0.0036583585628743444
rxn01100_c0,-0.03174651814574112,-0.10371621408297726,0.037194751665172054,-0.030010402055866085,0.06577415196283648
rxn00838_c0,0.055794136679344,-0.0057181697993202414,0.0006361195246232072,-0.0021654417874740987,0.003658358562978032
rxn00102_c0,0.003021664001749704,0.05909256120055436,0.11185128473986324,0.023830493597700595,-0.051572374165376515
rxn01255_c0,0.05491250252795768,-0.012802996303939076,-0.004193401778627517,-0.004894847775947402,0.006704040877332683
rxn05296_c0,0.05579413667934427,-0.005718169799347124,0.0006361195246835249,-0.0021654417874557796,0.003658358562874039
rxn01211_c0,0.05579413667934413,-0.005718169799331883,0.0006361195246489806,-0.0021654417874661844,0.003658358562934187
rxn00527_c0,-0.02389526581470079,0.04045763048696435,0.025257462490361333,0.01556698745037487,-0.018006723572951796
rxn05322_c0,0.05579413667934427,-0.005718169799347249,0.0006361195246835141,-0.0021654417874557297,0.0036583585628739003
