,PC1,PC2,PC3,PC4,PC5
rxn00171_c0,0.007849516146431602,0.039843834627858656,0.01611516858269846,-0.0024017878230580625,-0.10212765636067786
rxn03958_c0,-0.1208467824285339,0.029615665109903017,-0.01960230804738213,-0.0034606637424284747,0.019433837678533968
rxn00178_c0,0.04970701946594697,0.07311408834338316,-0.029695747356458736,-0.039974554403365205,0.016010706057796985
rxn01362_c0,-2.068479598843324e-18,1.3530587716202198e-18,-2.5616193510683004e-18,-2.0501394139422852e-18,-7.001334220442609e-19
rxn05329_c0,3.9531176228224475e-18,8.052492503167724e-18,-1.015811439282436e-17,-4.1174659824598306e-18,1.970108184706098e-17
rxn00549_c0,-0.002581195664839056,-0.030353669614374447,-0.08485625145573489,0.045208619684628026,-0.023327551933582255
rxn02933_c0,0.011703572770780931,-0.027173416145367287,-0.03555751481931323,-0.03168735148648803,0.03581615232100367
rxn00612_c0,0.012932194717087352,-0.030408321364391783,-0.03572238309282622,-0.034132129499450985,0.03798223497992154
rxn08766_c0,1.990335877006442e-18,6.677979866908464e-18,-1.2353228420773473e-17,-3.5143453556370936e-19,1.952004375252135e-17
rxn05461_c0,-4.939694571001188e-18,7.254479880284059e-18,-1.068145918819371e-17,3.2124249909385394e-18,2.157435349905979e-17
rxn12405_c0,-0.003776950933887395,-0.019018450359041286,0.01484512269849819,0.014885635025328059,-0.02545833452466582
rxn02159_c0,5.210976516087834e-20,-2.528527696228532e-19,7.236445994654414e-19,-1.325483289384828e-19,-3.542364678358413e-21
rxn05466_c0,-0.037757958193126634,-0.018514933052433825,0.0890817508573257,-0.09361432104739997,-0.051089842491563134
rxn00917_c0,1.1881419021691827e-17,8.871000033396259e-18,5.640976156883731e-18,1.3151078573603332e-17,-9.849049992611254e-18
rxn00300_c0,-1.3478210310731348e-19,-1.4623103710962261e-18,5.063618067691245e-19,6.136840537727661e-19,-5.086487436630099e-20
rxn01925_c0,-0.021605694911223678,0.02394944926797119,0.09953860992264268,0.09414905090147876,-0.027121318759952873
rxn05957_c0,0.012307033509590068,0.015931681299588416,-0.014252244026841885,0.030679055154590577,-0.02012646942831254
rxn05335_c0,-4.109161105886507e-18,8.539035849664888e-18,-1.1493432693185196e-17,2.4318453522754885e-18,2.1424178176754204e-17
