CleanName,Method,replicateID,timepoint,nM
phosphoenolpyruvate,AN,C,34,5.517640035
phosphoenolpyruvate,AN,B,44,2.025224052
phosphoenolpyruvate,AN,A,44,1.286805989
phosphoenolpyruvate,AN,C,44,1.764693812
phosphoenolpyruvate,AN,C,8,2.035470179
phosphoenolpyruvate,AN,B,8,1.942343383
phosphoenolpyruvate,AN,A,8,2.109057824
phosphoenolpyruvate,AN,B,12,13.68201409
phosphoenolpyruvate,AN,A,12,9.544343602
phosphoenolpyruvate,AN,C,12,6.750106256
phosphoenolpyruvate,AN,A,6,6.431247208
phosphoenolpyruvate,AN,C,6,0.045180667
phosphoenolpyruvate,AN,B,6,0.045180667
phosphoenolpyruvate,AN,A,0,0.045180667
phosphoenolpyruvate,AN,C,0,0.946345625
phosphoenolpyruvate,AN,B,0,2.643241725
phosphoenolpyruvate,AN,C,20,1.314596886
phosphoenolpyruvate,AN,B,20,1.195089243
phosphoenolpyruvate,AN,A,20,1.218851768
phosphoenolpyruvate,AN,B,38,3.839427091
phosphoenolpyruvate,AN,A,38,9.995989568
phosphoenolpyruvate,AN,C,38,3.756709679
phosphoenolpyruvate,AN,C,42,1.511191714
phosphoenolpyruvate,AN,A,42,1.774344318
phosphoenolpyruvate,AN,B,42,2.667975519
phosphoenolpyruvate,AN,A,14,3.41243338
phosphoenolpyruvate,AN,B,14,2.865126725
phosphoenolpyruvate,AN,C,14,2.063696798
phosphoenolpyruvate,AN,B,10,4.322040648
phosphoenolpyruvate,AN,C,10,8.66390187
phosphoenolpyruvate,AN,A,10,1.259699995
phosphoenolpyruvate,AN,C,26,2.015577112
phosphoenolpyruvate,AN,B,26,2.164399785
phosphoenolpyruvate,AN,A,26,1.84642721
phosphoenolpyruvate,AN,B,18,1.73939237
phosphoenolpyruvate,AN,A,18,1.071770161
phosphoenolpyruvate,AN,C,18,1.407535266
phosphoenolpyruvate,AN,A,36,2.7593521
phosphoenolpyruvate,AN,B,36,9.502313328
phosphoenolpyruvate,AN,C,36,3.675714621
phosphoenolpyruvate,AN,A,30,2.350410472
phosphoenolpyruvate,AN,C,30,1.993119948
phosphoenolpyruvate,AN,B,30,1.850260405
phosphoenolpyruvate,AN,B,40,3.239400324
phosphoenolpyruvate,AN,C,40,2.108677141
phosphoenolpyruvate,AN,A,40,3.488877599
phosphoenolpyruvate,AN,B,28,1.875532204
phosphoenolpyruvate,AN,A,28,2.994203562
phosphoenolpyruvate,AN,C,28,1.153985618
glycerol_3_phosphate,AN,A,4,2.743137916
glycerol_3_phosphate,AN,B,4,5.850082978
glycerol_3_phosphate,AN,C,4,3.79204252
glycerol_3_phosphate,AN,C,32,4.607731926
glycerol_3_phosphate,AN,A,32,4.785396217
glycerol_3_phosphate,AN,B,32,5.934827328
