ids,glutamic acid,alanine,valine,aspartate,isoleucine,leucine,glycine,proline,cocktail,reaction_name,reaction_string
DM_cpd11416_c0,1.2239635502447506e-15,-8.148417392990545e-16,8.161419689456892e-16,1.4934461671729668e-16,-2.7740991435293884e-16,3.229195068079977e-16,-5.5430726961393495e-16,-9.290953089991585e-16,-8.250262811162941e-16,Demand for Biomass [c0],Biomass --> 
rxn03108_c0,5.047918675072663e-16,1.5541780170462643e-16,1.4284935656955596e-15,-4.372221461622574e-17,2.6034860113692166e-16,-1.3262886148143565e-15,7.412367343001744e-16,-5.641210154337678e-16,-3.262042647554251e-15,ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase [c0],ATP + H+ + 4-Amino-5-phosphomethyl-2-methylpyrimidine --> ADP + 4-Amino-2-methyl-5-diphosphomethylpyrimidine
rxn14061_c0,0.0,-2.454874129512947e-15,-1.315438640418154e-17,2.1121073340748552e-16,7.469631907186832e-16,5.227507963055881e-18,-4.252868872213394e-16,-9.2909530899916e-16,4.888279997182153e-15,"trans,trans,cis-geranylgeranyl-diphosphate:isopentenyl-diphosphate geranylgeranylcistransferase [c0]","H+ + Isopentenyldiphosphate + trans,trans,cis-Geranylgeranyl diphosphate --> PPi + ditrans,dicis-Pentaprenyl diphosphate"
rxn01256_c0,3.03111232861402e-16,1.4181921834501197e-15,-1.315438640418154e-17,-3.5257280999830377e-15,5.477627488349202e-16,2.6680470111424523e-16,1.818526545513533e-16,1.7697344063511945e-15,-3.318464999543438e-15,Chorismate pyruvatemutase [c0],Chorismate --> Prephenate
rxn00907_c0,3.4706447291462566e-14,1.4932721404947464e-13,1.51951052481822e-13,-1.5676761716565202e-13,-1.6259424125945224e-13,-2.034679149452711e-14,1.047107719210136e-13,-4.887874569960931e-13,2.920953124354113e-13,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase [c0]",NADP + 5-10-Methylenetetrahydrofolate <=> NADPH + 5-10-Methenyltetrahydrofolate
EX_cpd00149_e0,2.5850848334220463e-16,-4.93894333641061e-16,1.4284935656955596e-15,-2.1097898257592768e-16,5.105571826093962e-16,-2.652162595543631e-16,9.538742524577747e-17,-8.84201840854899e-16,1.2291330426311123e-14,exchange,Co2+ [e0] <=> 
rxn08311_c0,-2.70701977083712e-16,-2.3774947922101416e-15,6.191292495458752e-16,-1.1032792947222908e-15,5.105571826093962e-16,-7.015384611057547e-16,-6.352840194216144e-16,-5.035040767465148e-15,-1.0949471975735249e-15,CDP-diacylglycerol synthetase (n-C18:0) [c0],"CTP + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate --> PPi + H+ + CDP-1,2-dioctadecanoylglycerol"
rxn05327_c0,7.318384990050114e-16,-7.872042368725373e-16,6.191292495458752e-16,-7.446055821504518e-16,5.477627488349202e-16,1.8995355849010591e-16,-3.3323933873631483e-16,3.605086124738729e-15,-1.863664677614309e-15,"Decanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c0]",NADH + H+ + (2E)-Decenoyl-ACP --> NAD + Decanoyl-ACP
EX_cpd00099_e0,1.9943021540995533e-17,-2.3774947922101416e-15,1.4284935656955596e-15,2.5902013797761903e-16,2.6034860113692166e-16,-3.869586065583199e-31,-7.910824603127543e-16,2.5354149434223912e-15,-4.701605945273461e-16,Exchange for Cl- [e0],Cl- [e0] <=> 
rxn05346_c0,1.5522754348835266e-17,3.416868635581383e-18,1.4064020238056938e-17,0.0,1.7380769382881862e-32,4.084658621847236e-31,-1.233795350939689e-17,0.0,3.0223276073233817e-33,butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0],H+ + Butyryl-ACP + Malonyl-ACP --> CO2 + 3-Oxohexanoyl-ACP + ACP
rxn03436_c0,2.378324018933222e-16,1.2676875383802837e-15,2.0879764750072254e-16,-4.3933534791521527e-16,0.5729582543713084,-1.3176820437188049e-15,-3.9696085209636935e-16,-1.620175435833369e-16,0.6477702007735905,(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing) [c0],2-Aceto-2-hydroxybutanoate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate
rxn05350_c0,-3.458783575455111e-16,-1.5900637310813596e-15,6.308596779887733e-16,4.293357651700971e-16,3.0048228436243393e-16,-2.0679161149594606e-16,-1.8679061345712983e-16,2.470605101828668e-16,4.005239467146631e-15,hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0],H+ + Hexanoyl-ACP + Malonyl-ACP --> CO2 + 3-Oxooctanoyl-ACP + ACP
rxn02475_c0,9.548084923025132e-17,-1.5900637310813596e-15,4.060981670484677e-16,2.8884566842185427e-16,-1.1762347233932682e-16,1.1845237619499854e-15,1.7410229895213182e-16,1.404760112785832e-15,-1.0933587896764576e-16,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase [c0]","H2O + H+ + 2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone --> NH3 + 5-Amino-6--5-phosphoribosylaminouracil"
rxn02774_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase [c0],NAD + Precorrin 2 <=> NADH + 2.0 H+ + Sirohydrochlorin
rxn03437_c0,0.0,0.0,0.0,0.0,0.5729582543713154,0.0,0.0,0.0,0.6477702007735953,"(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase [c0]","2,3-Dihydroxy-3-methylvalerate --> H2O + 3-methyl-2-oxopentoate"
rxn00313_c0,-1.8201893649455042e-16,-1.5900637310813596e-15,6.308596779887733e-16,4.23594513067465e-16,-2.891957050842232e-15,-4.024737945600461e-15,2.3216930046311297e-15,9.746315086480931e-17,3.5418390264749067e-16,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming) [c0]","H+ + meso-2,6-Diaminopimelate --> CO2 + L-Lysine"
EX_cpd00063_e0,5.566076229912487e-16,-7.899922117212293e-16,-2.1641991434996507e-16,-7.790944198107953e-17,-2.1750438780866622e-16,1.6087567385046654e-16,-6.577630955608789e-16,4.925007329081159e-17,-1.5023646553516105e-15,Exchange for Ca2+ [e0],Ca2+ [e0] <=> 
rxn01790_c0,-4.595571373904599e-13,-7.052035234221824e-18,-2.1264538629347386e-12,-5.740921992054314e-13,-2.471493897293286e-13,-1.693599151705735e-13,1.1054449724400513e-12,1.0729120897045754e-12,4.314400160194281e-13,(R)-Pantoate:NADP+ 2-oxidoreductase [c0],NADP + Pantoate <=> NADPH + H+ + 2-Dehydropantoate
rxn02988_c0,1.1438737992160869e-12,3.6453582989412036e-13,3.6164293863980248e-12,-7.658799629745664e-13,1.006214729513972e-12,-3.4892519558546674e-13,-3.076670035636389e-13,2.4463452095193157e-12,9.54072367265682e-13,glycerone phosphate:iminosuccinate alkyltransferase (cyclizing) [c0],Glycerone-phosphate + Iminoaspartate --> 2.0 H2O + Phosphate + Quinolinate
rxn08822_c0,1.4193440469706173e-15,5.61458569251227e-16,3.154460409086506e-17,1.8537225784294253e-15,3.671935995346191e-17,6.61441168368225e-17,1.6797021508155296e-15,8.312828880094942e-16,1.1763584348954333e-15,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0) [c0]",H2O + 2-octadecanoyl-sn-glycerol 3-phosphate <=> 2.0 H+ + Glycerol-3-phosphate + Octadecanoate
EX_cpd00204_e0,-7.555155211817424e-16,6.176816374450065e-16,-3.740669580679072e-16,-1.669800461353331e-16,-6.185501270635503e-16,-1.9245185138550862e-16,5.65675516143258e-16,-1.5700396788122883e-16,6.349872494718615e-16,CO exchange,CO [e0] --> 
rxn00119_c0,4.7780407618606445e-16,4.63868551292552e-16,-5.860847134247281e-17,2.4811144756389556e-17,4.7588575114343506e-17,2.7435485411053667e-16,-7.341627889041534e-17,2.41798709056447e-16,-1.4974109482429999e-16,ATP:UMP phosphotransferase [c0],ATP + H+ + UMP <=> ADP + UDP
