,PC1,PC2,PC3,PC4,PC5
rxn02159_c0,0.054777477410974246,0.0021362145341519033,-0.0023357864718133513,-0.0048231116514266805,-0.0007055094891469781
rxn05466_c0,0.01698299049023501,0.11134104599085662,-0.09668989646816123,0.03895480651891176,0.01908603708297763
rxn00917_c0,0.05477747741097426,0.0021362145341519275,-0.0023357864718130026,-0.0048231116514265,-0.0007055094891469426
rxn00300_c0,0.054777477410974204,0.0021362145341534736,-0.00233578647181452,-0.004823111651430056,-0.0007055094891496842
rxn01925_c0,0.021595112710734724,-0.027403670237527405,-0.1406912562296068,-0.003085087228814068,0.10157668105392936
rxn05957_c0,-0.007984168598087801,-0.14016089206846172,-0.006768284808435011,-0.059137442303534356,0.0021519638257082923
rxn05335_c0,0.05477747741097426,0.002136214534151875,-0.002335786471813276,-0.0048231116514272105,-0.0007055094891457684
rxn08551_c0,0.054777477410974246,0.002136214534151894,-0.0023357864718133417,-0.004823111651426577,-0.00070550948914693
rxn00679_c0,-0.023276872320000926,0.06926521527319042,0.12486910825694049,-0.06354732695257292,0.03546151818841101
rxn00272_c0,0.007576497436110139,0.13699468981733762,0.0044300494973332685,0.05658633920396698,-0.00232511814185785
rxn05595_c0,0.05477747741097426,0.0021362145341519687,-0.002335786471813367,-0.004823111651426611,-0.0007055094891468731
rxn05348_c0,0.05477747741097426,0.0021362145341518764,-0.0023357864718133274,-0.004823111651426824,-0.0007055094891464709
rxn11946_c0,0.05477747741097425,0.0021362145341527823,-0.0023357864718123148,-0.004823111651425967,-0.0007055094891469396
rxn01504_c0,0.02864247886459254,-0.044592984914585826,0.11256067273241194,-0.0630702968939482,0.05902995131422189
rxn00907_c0,0.05477747741097093,0.002136214534311544,-0.0023357864721626214,-0.004823111651346894,-0.0007055094887443575
rxn02404_c0,0.05477747741097426,0.0021362145341519184,-0.0023357864718133122,-0.004823111651426708,-0.0007055094891467661
rxn09188_c0,0.039401131339441814,-0.08588633916596707,-0.036331345259351853,0.010530119167659672,-0.03099136538602543
rxn08822_c0,-0.054777477410974246,-0.0021362145341518868,0.002335786471813378,0.004823111651426613,0.0007055094891469969
rxn05030_c0,0.05477747741097424,0.00213621453415196,-0.002335786471813333,-0.0048231116514266285,-0.0007055094891469338
rxn05345_c0,0.05477747741097425,0.0021362145341519657,-0.0023357864718132944,-0.0048231116514268904,-0.0007055094891464039
rxn00336_c0,-0.026425358664180394,0.024086505038762775,-0.1109169336471599,0.05337552703144193,-0.047817128248687654
rxn01465_c0,-0.05477747741097424,-0.0021362145341519466,0.0023357864718133955,0.004823111651426698,0.000705509489146974
rxn01872_c0,-0.05015812811647451,-0.027222395156739725,0.007406232571787907,-0.05254708266974605,0.0418199125867913
rxn01301_c0,0.012150829903475893,-0.010184989961600551,0.031117802469018633,0.14805524391416125,0.08321591042440721
rxn01643_c0,0.05477747741097426,0.0021362145341519796,-0.0023357864718133213,-0.004823111651426686,-0.0007055094891469465
rxn00248_c0,0.023060673259428045,-0.03998887774566972,0.02051546323029603,-0.01684840308433106,-0.09933008418690147
